SN,Lastname,Firstname,Gender,Height,Weight,Passport ID,Country,Job Title,Income Annual,Hobby,Car Brand
1,Woods,Olivia,F,1.74,42.3,T4648189,Hungary,Cherry Cutter,11854,Beach,-
2,Mcbride,Zachary,M,1.88,52.5,L9249367,France,"Collar Baster, Jumpbasting",14952,Bicycling,-
3,Odom,Kevin,M,1.81,62.4,665280794,Slovenia,Tree Planter,51991,Housework,Alfa Romeo
4,Ortiz,Jacob,M,1.7,48.4,A9811705,Russia,Leather Softener,42161,Housework,Chevrolet
5,Cohen,Alan,M,1.94,48.4,W9580507,Germany,Screen Printer Helper,77063,Bowling,Audi
6,Maynard,Ashley,F,1.62,50.4,B8272962,United Kingdom,Weight Analyst,99490,Hunting,General Motors
7,Cline,Vincent,M,1.74,66.6,E6260660,Lithuania,Armature Tester I,9241,Golf,-
8,Ballard,Billy,M,1.73,64.4,R8487851,Finland,"Assembler, Skylights",17724,Fishing,-
9,Perkins,Roger,M,1.83,50.2,A8114462,Latvia,Bowling-Ball Finisher,62871,Cooking,Lexus
10,Cantu,Ryan,M,1.93,82.9,568356499,Mexico,Quality-Control Tester,12826,Writing,-
11,Oneil,Mary,F,1.58,42.3,088539084,Italy,Mortgage Loan Closer,21279,Computer Games,Koenigsegg
12,Rutledge,Ashley,F,1.82,43.6,775250468,Portugal,Automotive-Tire-Testing Supervisor,15095,Traveling,-
13,Russell,Brian,M,1.82,66.2,P4725357,Estonia,Chief Load Dispatcher,32798,Boating,-
14,Zamora,Johnny,M,1.77,51.2,608754329,Italy,Security Guard,42417,Hunting,Jaguar
15,Sears,Patrick,M,1.88,51.2,851738184,Latvia,"Wildlife Agent, Regional",32068,Hiking,GMC
16,Fisher,Dorothy,F,1.52,58.3,043510167,South Korea,Wire Repairer,87036,Gardening,TATA Motors
17,Kidd,Kevin,M,1.67,71,L4655529,Spain,Greaser,22220,Sewing,McLaren
18,Bryant,Maria,F,1.54,42.3,L2429684,Sweden,Progress Clerk,46340,Eating Out,Ram
19,Mosley,Rose,F,1.6,42.3,128869400,South Korea,Safe-And-Vault Service Mechanic,169167,Hunting,Honda
20,Coffey,Joan,F,1.51,42.3,U9103321,Spain,"Laborer, Concrete Plant",19813,Walking,-
21,Huber,Melissa,F,1.49,51.7,P2256019,Slovakia,Plastics Worker,26147,Fishing,Alfa Romeo
22,Keller,Wayne,M,1.72,67.3,699199572,Portugal,"Model Maker, Firearms",87113,Running,Jaguar
23,Hull,Jesse,M,1.94,51.9,364721393,Austria,Blocker Ii,34875,Animal Care,Pagani
24,Greer,George,M,1.74,64.9,Q7274644,Germany,Interpreter,134440,Boating,Jeep
25,Barrett,Jacob,M,1.94,48.4,527485434,South Korea,"Assembler, Electrical Accessories I",21767,Working on Cars,Toyota
26,Larsen,Kathryn,F,1.49,48.3,T2401692,India,Graduate Assistant,17461,Watching Sports,-
27,Bruce,Alexis,F,1.75,42.3,342445601,Belgium,Shoe Coverer,26935,Crafts,-
28,Wallace,Christine,F,1.54,52.3,083376077,United Kingdom,Push-Connector Assembler,12660,Bowling,-
29,Diaz,Frank,M,1.94,60.8,I6467549,Croatia,"Supervisor, Fitting",72356,Bicycling,-
30,Porter,Alan,M,1.79,53.6,765934879,India,Welding Technician,91325,Watching TV,Volkswagen
31,Henson,Stephen,M,1.52,59.8,E7173559,Argentina,Glass-Bulb Silverer,35888,Watching Sports,-
32,Prince,Larry,M,1.61,49.8,A7731730,Spain,"Station Engineer, Main Line",17834,Housework,-
33,Ryan,Keith,M,1.9,57,D5679631,Slovakia,Petroleum Engineer,43184,Listening to Music,BMW
34,Nielsen,Abigail,F,1.68,42.3,114858462,Netherlands,Copy Holder,32981,Reading,Tesla
35,Chang,Joyce,F,1.43,42.3,571374414,India,Chinchilla-Machine Operator,22547,Beach,Jaguar
36,King,Linda,F,1.75,42.3,B9426335,Singapore,Merchandising Associate,43889,Sleeping,Geely
37,Eaton,Alexander,M,1.92,82.4,S6649969,United Kingdom,Push-Connector Assembler,15304,Golf,-
38,Higgins,Henry,M,1.94,48.4,Y4073683,Greece,Stone Trimmer,63946,Skiing,Subaru
39,Meyers,Joe,M,1.94,69.9,I6250924,Greece,House Sitter,9357,Hunting,-
40,Davenport,Lauren,F,1.63,42.3,B5746886,Sweden,Kiln Worker,53683,Camping,Jeep
41,Fuentes,Aaron,M,1.55,56.9,242104303,Lithuania,"Cutting-Machine Tender, Decorative",19654,Playing Cards,-
42,Foreman,Bobby,M,1.52,48.4,779922163,Indonesia,Oxidized-Finish Plater,9453,Animal Care,-
43,Rice,Jack,M,1.84,84.6,144844064,Latvia,Electrical-Equipment Tester,58740,Gardening,Renault
44,Lindsay,Douglas,M,1.94,48.4,E7992261,Italy,"Supervisor, Mixing Place",19780,Painting,-
45,Dominguez,Anthony,M,1.91,75.3,216737565,Mexico,Hospital-Insurance Representative,13445,Cooking,-
46,Nash,Russell,M,1.52,64.5,A4498890,Cyprus,Mechanical-Maintenance Supervisor,25238,Gardening,-
47,Acosta,Steven,M,1.64,48.4,T4821330,Cyprus,Monument Setter,12711,Going to Movies,-
48,Haney,Nathan,M,1.94,64.5,872322384,Portugal,"Splitter, Machine",21984,Gardening,Peugeot
49,Berger,Anna,F,1.69,42.3,620723406,Portugal,"Dietitian, Consultant",16434,Horseback Riding,-
50,Washington,Victoria,F,1.66,44,B3487637,Germany,"Drafter, Marine",34530,Computer Games,Ram
51,Gilmore,Deborah,F,1.66,64.4,G7207500,Germany,Transformer-Stock Clerk,67110,Bicycling,Pagani
52,Ratliff,Kenneth,M,1.62,56.5,I6112114,Bulgaria,Fireworks Assembler,47410,Fishing,Subaru
53,Marshall,Alexander,M,1.64,51.6,351010824,Australia,Hydraulic-Chair Assembler,16314,Computer Games,-
54,Rios,Judy,F,1.39,51.3,U7711244,Latvia,Hydrographer,27409,Hunting,-
55,Barnes,Mary,F,1.49,42.3,A1446880,Egypt,Target Aircraft Technician,119009,Hunting,Ferrari
56,Bowers,Bryan,M,1.94,70.2,I7764942,Slovakia,Tobacco Curer,19120,Exercise,-
